NtSetHighWaitLowEventPair	0x0146
NtSetHighWaitLowThread	
NtSetIRTimer	
NtSetInformationDebugObject	0x0147
NtSetInformationEnlistment	0x0148
NtSetInformationFile	0x0149
NtSetInformationJobObject	0x014a
NtSetInformationKey	0x014b
NtSetInformationObject	0x014c
NtSetInformationProcess	0x014d
NtSetInformationResourceManager	0x014e
NtSetInformationSymbolicLink	
NtSetInformationThread	0x014f
NtSetInformationToken	0x0150
NtSetInformationTransaction	0x0151
NtSetInformationTransactionManager	0x0152
NtSetInformationVirtualMemory	
NtSetInformationWorkerFactory	0x0153
NtSetIntervalProfile	0x0154
NtSetIoCompletion	0x0155
NtSetIoCompletionEx	0x0156
NtSetLdtEntries	0x0157
NtSetLowEventPair	0x0158
NtSetLowWaitHighEventPair	0x0159
NtSetLowWaitHighThread	
NtSetQuotaInformationFile	0x015a
NtSetSecurityObject	0x015b
NtSetSystemEnvironmentValue	0x015c
NtSetSystemEnvironmentValueEx	0x015d
NtSetSystemInformation	0x015e
NtSetSystemPowerState	0x015f
NtSetSystemTime	0x0160
NtSetThreadExecutionState	0x0161
NtSetTimer	0x0162
NtSetTimer2	
NtSetTimerEx	0x0163
NtSetTimerResolution	0x0164
NtSetUuidSeed	0x0165
NtSetValueKey	0x0166
NtSetVolumeInformationFile	0x0167
NtSetWinStationInformation	
NtSetWnfProcessNotificationEvent	
NtShutdownSystem	0x0168
NtShutdownWorkerFactory	0x0169
NtSignalAndWaitForSingleObject	0x016a
NtSinglePhaseReject	0x016b
NtStartProfile	0x016c
NtStartTm	
NtStopProfile	0x016d
NtSubscribeWnfStateChange	
NtSuspendProcess	0x016e
NtSuspendThread	0x016f
NtSystemDebugControl	0x0170
NtTerminateEnclave	
NtTerminateJobObject	0x0171
NtTerminateProcess	0x0172
NtTerminateThread	0x0173
NtTestAlert	0x0174
NtThawRegistry	0x0175
NtThawTransactions	0x0176
NtTraceControl	0x0177
NtTraceEvent	0x0178
NtTranslateFilePath	0x0179
NtUmsThreadYield	0x017a
NtUnloadDriver	0x017b
NtUnloadKey	0x017c
NtUnloadKey2	0x017d
NtUnloadKeyEx	0x017e
NtUnlockFile	0x017f
NtUnlockVirtualMemory	0x0180
NtUnmapViewOfSection	0x0181
NtUnmapViewOfSectionEx	
NtUnsubscribeWnfStateChange	
NtUpdateWnfStateData	
NtVdmControl	0x0182
NtW32Call	
NtWaitForAlertByThreadId	
NtWaitForDebugEvent	0x0183
NtWaitForKeyedEvent	0x0184
NtWaitForMultipleObjects	0x0185
NtWaitForMultipleObjects32	0x0186
NtWaitForSingleObject	0x0187
NtWaitForWnfNotifications	
NtWaitForWorkViaWorkerFactory	0x0188
NtWaitHighEventPair	0x0189
NtWaitLowEventPair	0x018a
NtWorkerFactoryWorkerReady	0x018b
NtWriteErrorLogEntry	
NtWriteFile	0x018c
NtWriteFileGather	0x018d
NtWriteRequestData	0x018e
NtWriteVirtualMemory	0x018f
NtYieldExecution	0x0190
